Store,Name,Latitude,Longitude,Address
Pret A Manger,Pret A Manger,51.5072535,-0.2203381,"Ariel Way Westfield, Mall South, Unit 2033, Level 50, London W12 7GR, United Kingdom"
Pret A Manger,Pret A Manger,51.5073315,-0.1285942,"62-65 Trafalgar Sq, London WC2N 5DS, United Kingdom"
Pret A Manger,Pret A Manger,51.4935071,-0.1009828,"Elephant and Castle 1 The Elephant, Elephant and Castle, London SE1 6BH, United Kingdom"
Pret A Manger,Pret a Manger,51.58692,-0.0635134,"Broad Ln, London N15 4QT, United Kingdom"
Pret A Manger,Pret A Manger,51.5082595,-0.132851,"Retail Unit 2 Regent Street Retail Unit 2, London SW1Y 4PE, United Kingdom"
Pret A Manger,Pret A Manger,51.5170143,-0.1272275,"64-68 New Oxford St, London WC1A 1AZ, United Kingdom"
Pret A Manger,Pret A Manger,51.5055355,-0.0887448,"11-15 Borough High St, London SE1 9SE, United Kingdom"
Pret A Manger,Pret A Manger,51.5046742,-0.0860056,"London Bridge Station, St Thomas St, Railway Approach, London SE1 9SP, United Kingdom"
Pret A Manger,Pret A Manger,51.5153422,-0.07239430000000001,"1 Commercial St, London E1 6BF, United Kingdom"
Pret A Manger,Pret A Manger,51.5132807,-0.1127745,"217 Strand, Temple, London WC2R 1AT, United Kingdom"
Pret A Manger,Pret A Manger,51.5136475,-0.1586049,"556 Oxford St, London W1C 1LX, United Kingdom"
Pret A Manger,Pret A Manger,51.5122964,-0.145394,"32 Avery Row, London W1K 4BE, United Kingdom"
Pret A Manger,Pret A Manger,51.5078158,-0.1400834,"163 Piccadilly, London W1J 9ED, United Kingdom"
Pret A Manger,Pret A Manger,51.5207044,-0.0875261,"Unit 2, 1 Finsbury Square, London EC2A 1AE, United Kingdom"
Pret A Manger,Pret A Manger,51.5163141,-0.1421484,"298 Regent St., London W1B 3AP, United Kingdom"
Pret A Manger,Pret A Manger,51.5279873,-0.0894455,"Eagle House, 161 City Rd, London EC1V 1NR, United Kingdom"
Pret A Manger,Pret A Manger,51.5138039,-0.1419489,"18 Hanover St, London W1S 1YN, United Kingdom"
Pret A Manger,Pret A Manger,51.4903038,-0.1618712,"35-37 King's Rd, London SW3 4NB, United Kingdom"
Pret A Manger,Pret A Manger,51.4968357,-0.1291979,"47 Great Peter St, London SW1P 3LT, United Kingdom"
